accver	title	taxid	species	type	P	H	F	date	ac0	ac1	ac2	ac3	ac4	collection_date	country
KF268310.1	Human adenovirus C strain human/USA/Pitts_00109/1992/2[P2H2F2], complete genome	129951	C	002	002	002	002	1992-01-01	US	PA	003	?	?	1992	USA: Pittsburgh, Pennsylvania
KF268130.1	Human adenovirus C strain human/USA/UFL_Adv2/2004/2[P2H2F2], complete genome	129951	C	002	002	002	002	2004-12-01	US	NY	?	?	?	Dec-2004	USA: New York
JX173084.1	Human adenovirus C strain human/USA/VT5544/2003/2[P2H2F2], complete genome	129951	C	002	002	002	002	2003-05-21	US	?	?	?	?	21-May-2003	USA
MK836309.1	Human mastadenovirus C isolate Human/China/Shanghai/793/P2H2F2/2/2009, complete genome	129951	C	002	002	002	002	2009-07-03	CN	?	?	?	?	03-Jul-2009	China
DQ099432.4	Human adenovirus B strain Guangzhou01, complete genome	108098	B	003	003	003	003	2005-01-01	?	?	?	?	?	Jan-2005	NA
DQ105654.4	Human adenovirus B strain Guangzhou02, complete genome	108098	B	003	003	003	003	2004-07-01	?	?	?	?	?	Jul-2004	NA
JX423380.1	Human adenovirus B strain human/USA/ak32_AdV3a/2004/3[P3H3F3], complete genome	108098	B	003	003	003	003	2004-07-01	US	?	131	?	?	01-Jul-2004	USA: San Diego
JX423381.1	Human adenovirus B strain human/USA/ak33_AdV3a/2003/3[P3H3F3], complete genome	108098	B	003	003	003	003	2003-01-01	US	?	099	?	?	01-Jan-2003	USA: Philadelphia
JX423382.1	Human adenovirus B strain human/USA/ak34_AdV3a2/2008/3[P3H3F3], complete genome	108098	B	003	003	003	003	2008-01-01	US	?	099	?	?	01-Jan-2008	USA: Philadelphia
KF268128.1	Human adenovirus B strain human/USA/CL_46/1988/3[P3H3F3], complete genome	108098	B	003	003	003	003	1988-01-01	US	PA	003	?	?	1988	USA: Pittsburgh, Pennsylvania
KF268202.1	Human adenovirus B strain human/USA/MEEI_00075/X/3[P3H3F3], complete genome	108098	B	003	003	003	003	?	US	?	?	?	?	NA	USA
KF268195.1	Human adenovirus B strain human/USA/UFL_Adv3/2004/3[P3/H3/F3], partial genome	108098	B	003	003	003	003	2004-10-01	US	MO	?	?	?	Oct-2004	USA: Missouri
KF268124.1	Human adenovirus B strain human/USA/UFL_Adv35/2004/35[P35H35F35], complete genome	108098	B	003	003	003	003	2004-12-01	US	IA	?	?	?	Dec-2004	USA: Iowa
KF268131.1	Human adenovirus B strain human/USA/UFL_Adv3a17/2007/3[P3H3F3], complete genome	108098	B	003	003	003	003	2007-02-01	US	CT	?	?	?	Feb-2007	USA: Connecticut
KF268120.1	Human adenovirus B strain human/USA/UFL_Adv3a2/2007/3[P3H3F3], complete genome	108098	B	003	003	003	003	2007-02-01	US	CT	?	?	?	Feb-2007	USA: Connecticut
KF268133.1	Human adenovirus B strain human/USA/UFL_Adv3a50/2007/3[P3H3F3], complete genome	108098	B	003	003	003	003	2007-02-01	US	CT	?	?	?	Feb-2007	USA: Connecticut
KF268123.1	Human adenovirus B strain human/USA/UFL_Adv3a51/2007/3[P3H3F3], complete genome	108098	B	003	003	003	003	2007-01-01	US	CT	?	?	?	Jan-2007	USA: Connecticut
NC_011203.1	Human adenovirus B1, complete genome	108098	B	003	003	003	003	?	?	?	?	?	?	NA	NA
KX384958.1	Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome	45659	B	003	003	003	003	2002-12-09	US	SC	?	?	?	09-Dec-2002	USA: Fort Jackson, SC
AY599834.1	Human adenovirus type 3 strain GB, complete genome	45659	B	003	003	003	003	?	?	?	?	?	?	NA	NA
AY599836.1	Human adenovirus type 3 strain NHRC 1276, complete genome	45659	B	003	003	003	003	?	US	IL	?	?	?	NA	USA: Illinois, NTC Great Lakes
DQ086466.1	Human adenovirus type 3, complete genome	45659	B	003	003	003	003	?	?	?	?	?	?	NA	NA
MK836310.1	Human mastadenovirus B isolate human/China/Shanghai/1631/2009/3[P3H3F3], complete genome	108098	B	003	003	003	003	2009-10-30	CN	?	?	?	?	30-Oct-2009	China
MK836311.1	Human mastadenovirus B isolate Human/China/Shanghai/3096/2009/3[P3H3F3], complete genome	108098	B	003	003	003	003	2009-12-24	CN	?	?	?	?	24-Dec-2009	China
MK847517.1	Human mastadenovirus B isolate Human/China/Shanghai/3496/3[P3H3F3]/2009, complete genome	108098	B	003	003	003	003	2011-08-12	CN	?	?	?	?	12-Aug-2011	China
MK883603.1	Human mastadenovirus B isolate Human/China/Shanghai/3517/2011/3[P3H3F3], complete genome	108098	B	003	003	003	003	2011-08-12	CN	?	?	?	?	12-Aug-2011	China
MK883604.1	Human mastadenovirus B isolate Human/China/Shanghai/3754/2011/3[P3H3F3], complete genome	108098	B	003	003	003	003	2011-10-25	CN	?	?	?	?	25-Oct-2011	China
MK813914.1	Human mastadenovirus B isolate human/China/Shanghai/381/2004/3[P3H3F3], complete genome	108098	B	003	003	003	003	2009-06-19	CN	?	?	?	?	19-Jun-2009	China
MK883608.1	Human mastadenovirus B isolate Human/China/Shanghai/4010/2012/3[P3H3F3], complete genome	108098	B	003	003	003	003	2012-03-13	CN	?	?	?	?	13-Mar-2012	China
MK813915.1	Human mastadenovirus B isolate human/China/Shanghai/538/2009/3[P3H3F3], complete genome	108098	B	003	003	003	003	2009-06-26	CN	?	?	?	?	26-Jun-2009	China
MK836308.1	Human mastadenovirus B isolate human/China/Shanghai/678/2009/3[P3H3F3], complete genome	108098	B	003	003	003	003	2009-06-30	CN	?	?	?	?	30-Jun-2009	China
KY320276.1	Human mastadenovirus B isolate KUMC-62, complete genome	108098	B	003	003	003	003	?	KR	?	?	?	?	NA	South Korea
AY458656.2	Human adenovirus 4 strain CL68578, complete genome	28280	E	004	004	004	004	?	?	?	?	?	?	NA	NA
KF006344.1	Human adenovirus 4 strain GZ01, complete genome	28280	E	004	004	004	004	2008-06-01	CN	30	?	?	?	01-Jun-2008	China: Guangzhou
AB679754.1	Human adenovirus 4a DNA, complete genome, isolate: HAdVE_4a_Sapporo1984	35263	E	004	004	004	004	1984-01-01	JP	12	?	?	?	1984	Japan: Sapporo, Hokkaido University Hospital
AB679755.1	Human adenovirus 4a DNA, complete genome, isolate: HAdVE_4a_Sapporo1991	35263	E	004	004	004	004	1991-01-01	JP	12	?	?	?	1991	Japan: Sapporo, Hokkaido University Hospital
AB679756.1	Human adenovirus 4a DNA, complete genome, isolate: HAdVE_4a_Sapporo2001	35263	E	004	004	004	004	2001-01-01	JP	12	?	?	?	2001	Japan: Sapporo, Hokkaido University Hospital
AP014849.1	Human adenovirus 4a NHRC-11023 DNA, complete genome	35263	E	004	004	004	004	2001-01-01	US	?	?	?	?	2001	USA
AP014846.1	Human adenovirus 4a NHRC-20699 DNA, complete genome	35263	E	004	004	004	004	2002-01-01	US	?	?	?	?	2002	USA
AP014840.1	Human adenovirus 4a NHRC-21320 DNA, complete genome	35263	E	004	004	004	004	2005-01-01	US	?	?	?	?	2005	USA
AP014841.1	Human adenovirus 4a NHRC-22650 DNA, complete genome	35263	E	004	004	004	004	2006-01-01	US	?	?	?	?	2006	USA
AP014842.1	Human adenovirus 4a NHRC-23703 DNA, complete genome	35263	E	004	004	004	004	2008-01-01	US	?	?	?	?	2008	USA
AP014843.1	Human adenovirus 4a NHRC-25562 DNA, complete genome	35263	E	004	004	004	004	2011-01-01	US	?	?	?	?	2011	USA
AP014851.1	Human adenovirus 4a NHRC-36401 DNA, complete genome	35263	E	004	004	004	004	2011-01-01	US	?	?	?	?	2011	USA
AP014848.1	Human adenovirus 4a NHRC-42269 DNA, complete genome	35263	E	004	004	004	004	2001-01-01	US	?	?	?	?	2001	USA
AP014850.1	Human adenovirus 4a NHRC-50654 DNA, complete genome	35263	E	004	004	004	004	2001-01-01	US	?	?	?	?	2001	USA
AP014844.1	Human adenovirus 4a NHRC-70935 DNA, complete genome	35263	E	004	004	004	004	2004-01-01	US	?	?	?	?	2004	USA
AP014845.1	Human adenovirus 4a NHRC-92165 DNA, complete genome	35263	E	004	004	004	004	2009-01-01	US	?	?	?	?	2009	USA
AP014847.1	Human adenovirus 4a WPAFB 7 DNA, complete genome	35263	E	004	004	004	004	2009-01-01	US	?	?	?	?	2009	USA
AP014852.1	Human adenovirus 4p NHRC_90255 DNA, complete genome	1643781	E	004	004	004	004	2000-01-01	US	?	?	?	?	2000	USA
AP014853.1	Human adenovirus 4p NHRC_90870 DNA, complete genome	1643781	E	004	004	004	004	2004-01-01	US	?	?	?	?	2004	USA
NC_003266.2	Human adenovirus E, complete genome	130308	E	004	004	004	004	?	?	?	?	?	?	NA	NA
AY487947.1	Human adenovirus E, complete genome	130308	E	004	004	004	004	?	?	?	?	?	?	NA	NA
KX868498.2	Human adenovirus E4 isolate GyK225, complete genome	28280	E	004	004	004	004	2000-01-01	SE	?	?	?	?	2000	Sweden
MN513338.1	Human adenovirus E4 isolate SG01/HAdvE4/2016, complete genome	28280	E	004	004	004	004	2016-09-23	SG	?	?	?	?	23-Sep-2016	Singapore
MN513339.1	Human adenovirus E4 isolate SG03/HAdvE4/2016, complete genome	28280	E	004	004	004	004	2016-07-02	SG	?	?	?	?	02-Jul-2016	Singapore
MN513340.1	Human adenovirus E4 isolate SG04/HAdvE4/2016, complete genome	28280	E	004	004	004	004	2016-08-02	SG	?	?	?	?	02-Aug-2016	Singapore
MN513343.1	Human adenovirus E4 isolate SG07/HAdvE4/2016, complete genome	28280	E	004	004	004	004	2016-10-11	SG	?	?	?	?	11-Oct-2016	Singapore
MN513346.1	Human adenovirus E4 isolate SG10/HAdvE4/2016, complete genome	28280	E	004	004	004	004	2016-10-31	SG	?	?	?	?	31-Oct-2016	Singapore
MN513347.1	Human adenovirus E4 isolate SG11/HAdvE4/2016, complete genome	28280	E	004	004	004	004	2016-11-04	SG	?	?	?	?	04-Nov-2016	Singapore
KX384953.1	Human adenovirus E4 strain 078/Ft Jackson South Carolina USA/1997, complete genome	28280	E	004	004	004	004	1997-01-01	US	SC	?	?	?	1997	USA: Fort Jackson, SC
KX384954.1	Human adenovirus E4 strain 10/Ft Jackson South Carolina USA/2001, complete genome	28280	E	004	004	004	004	2001-01-01	US	SC	?	?	?	2001	USA: Fort Jackson, SC
KX384952.1	Human adenovirus E4 strain 186/Ft Jackson South Carolina USA/1998, complete genome	28280	E	004	004	004	004	1998-01-01	US	SC	?	?	?	1998	USA: Fort Jackson, SC
MN307136.1	Human adenovirus E4 strain HAdV-E/USA_MD/5883/2019/P4H4F4, complete genome	28280	E	004	004	004	004	2019-01-12	US	MD	?	?	?	12-Jan-2019	USA: Maryland
MN307145.1	Human adenovirus E4 strain HAdV-E/USA_PA/7607/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-12-18	US	PA	?	?	?	18-Dec-2018	USA: Pennsylvania
MN307143.1	Human adenovirus E4 strain HAdV-E/USA_PA/9762/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-10-31	US	PA	?	?	?	31-Oct-2018	USA: Pennsylvania
MN307144.1	Human adenovirus E4 strain HAdV-E/USA_PA/9773/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-11-20	US	PA	?	?	?	20-Nov-2018	USA: Pennsylvania
MN307139.1	Human adenovirus E4 strain HAdV-E/USA_VA/2744/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-11-27	US	VA	?	?	?	27-Nov-2018	USA: Virginia
MN307138.1	Human adenovirus E4 strain HAdV-E/USA_VA/9621/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-11-13	US	VA	?	?	?	13-Nov-2018	USA: Virginia
MN307137.1	Human adenovirus E4 strain HAdV-E/USA_VA/9623/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-11-07	US	VA	?	?	?	07-Nov-2018	USA: Virginia
MN307142.1	Human adenovirus E4 strain HAdV-E/USA_WI/5556/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-12-17	US	WI	?	?	?	17-Dec-2018	USA: Wisconsin
MN307140.1	Human adenovirus E4 strain HAdV-E/USA_WI/6006/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-11-26	US	WI	?	?	?	26-Nov-2018	USA: Wisconsin
MN307141.1	Human adenovirus E4 strain HAdV-E/USA_WI/6010/2018/P4H4F4, complete genome	28280	E	004	004	004	004	2018-11-28	US	WI	?	?	?	28-Nov-2018	USA: Wisconsin
KX384948.1	Human adenovirus E4 strain RDU2954/New Jersey USA/1966, complete genome	28280	E	004	004	004	004	1966-01-01	US	NJ	?	?	?	1966	USA: New Jersey
KX384949.1	Human adenovirus E4 strain RI-67 (ATCC VR-1572), complete genome	28280	E	004	004	004	004	1953-01-01	US	MO	?	?	?	1953	USA: Fort Leonard Wood, Missouri
KX384947.1	Human adenovirus E4 strain RU4445/Egypt/1968, complete genome	28280	E	004	004	004	004	1968-01-01	EG	?	?	?	?	1968	Egypt
KX384950.1	Human adenovirus E4 strain RU7872/Minnesota USA/1971, complete genome	28280	E	004	004	004	004	1971-01-01	US	MN	?	?	?	1971	USA: Minnesota
KX384945.1	Human adenovirus E4 strain T158/Ft Jackson South Carolina USA/2002, complete genome	28280	E	004	004	004	004	2002-11-26	US	SC	?	?	?	26-Nov-2002	USA: Fort Jackson, SC
KX384956.1	Human adenovirus E4 strain V0014/France/1978, complete genome	28280	E	004	004	004	004	1978-01-01	FR	?	?	?	?	1978	France
KX384957.1	Human adenovirus E4 strain V1003/New York USA/1981, complete genome	28280	E	004	004	004	004	1981-01-01	US	NY	?	?	?	1981	USA: New York
KX384955.1	Human adenovirus E4 strain V1933/New Mexico USA/1985, complete genome	28280	E	004	004	004	004	1985-01-01	US	NM	?	?	?	1985	USA: New Mexico
KX384946.1	Human adenovirus E4 strain V2029E/Georgia USA/1986, complete genome	28280	E	004	004	004	004	1986-01-01	US	GA	?	?	?	1986	USA: Georgia
KX384951.1	Human adenovirus E4 strain ZG/Indio California USA/1995, complete genome	28280	E	004	004	004	004	1995-01-01	US	CA	?	11789039	?	1995	USA: Indio, CA
MG030485.1	Human adenovirus type 4 isolate NVI1692, complete genome	28280	E	004	004	004	004	2016-08-31	US	?	?	?	?	31-Aug-2016	USA
MG030486.1	Human adenovirus type 4 isolate NVI1694, complete genome	28280	E	004	004	004	004	2016-08-31	US	?	?	?	?	31-Aug-2016	USA
MG030483.1	Human adenovirus type 4 isolate NVI1727, complete genome	28280	E	004	004	004	004	2016-09-08	US	?	?	?	?	08-Sep-2016	USA
MG030484.1	Human adenovirus type 4 isolate NVI1771, complete genome	28280	E	004	004	004	004	2016-09-14	US	?	?	?	?	14-Sep-2016	USA
AY599837.1	Human adenovirus type 4 strain NHRC 3, complete genome	28280	E	004	004	004	004	?	US	?	?	?	?	NA	USA: Lackland Air Force Base
AY599835.1	Human adenovirus type 4 strain NHRC 42606, complete genome	28280	E	004	004	004	004	?	US	?	?	?	?	NA	USA: Ft. Jackson
AY594253.1	Human adenovirus type 4 strain RI-67, complete genome	28280	E	004	004	004	004	?	?	?	?	?	?	NA	NA
AY594254.1	Human adenovirus type 4 vaccine strain, complete genome	28280	E	004	004	004	004	?	?	?	?	?	?	NA	NA
MF002043.1	Human mastadenovirus E isolate HAdVE/USA_New Jersey/RU2533/1966/P4H4F4, complete genome	130308	E	004	004	004	004	1966-01-01	US	?	?	?	?	1966	USA
MF002042.1	Human mastadenovirus E isolate HAdVE/USA_New York/1418/2015/P4H4F4, complete genome	130308	E	004	004	004	004	2015-01-13	US	?	?	?	?	13-Jan-2015	USA
EF371058.2	Human mastadenovirus E isolate NHRC90339, complete genome	130308	E	004	004	004	004	?	US	DE	?	?	?	NA	USA: Cape May, DE
KY996443.1	Human mastadenovirus E strain E/USA/38662/2014/P4H4F4, complete genome	130308	E	004	004	004	004	2014-12-10	US	NY	?	?	?	10-Dec-2014	USA: New York
KY996450.1	Human mastadenovirus E strain HAdV-E/USA/12752/2012/P4H4F4, complete genome	130308	E	004	004	004	004	2012-04-26	US	NY	?	?	?	26-Apr-2012	USA: New York
KY996451.1	Human mastadenovirus E strain HAdV-E/USA/27440/2012/P4H4F4, complete genome	130308	E	004	004	004	004	2012-08-19	US	NY	?	?	?	19-Aug-2012	USA: New York
KY996445.1	Human mastadenovirus E strain HAdV-E/USA/33430/2014/P4H4F4, complete genome	130308	E	004	004	004	004	2014-10-22	US	NY	?	?	?	22-Oct-2014	USA: New York
KY996446.1	Human mastadenovirus E strain HAdV-E/USA/3477/2015/P4H4F4, complete genome	130308	E	004	004	004	004	2015-01-30	US	NY	?	?	?	30-Jan-2015	USA: New York
KY996447.1	Human mastadenovirus E strain HAdV-E/USA/4054/2015/P4H4F4, complete genome	130308	E	004	004	004	004	2015-02-04	US	NY	?	?	?	04-Feb-2015	USA: New York
KY996448.1	Human mastadenovirus E strain HAdV-E/USA/4876/2014/P4H4F4, complete genome	130308	E	004	004	004	004	2014-02-10	US	NY	?	?	?	10-Feb-2014	USA: New York
KY996449.1	Human mastadenovirus E strain HAdV-E/USA/5497/2013/P4H4F4, complete genome	130308	E	004	004	004	004	2013-02-23	US	NY	?	?	?	23-Feb-2013	USA: New York
KY996442.1	Human mastadenovirus E strain HAdV-E/USA/9111/2014/P4H4F4, complete genome	130308	E	004	004	004	004	2014-02-13	US	NY	?	?	?	13-Feb-2014	USA: New York
KY996452.1	Human mastadenovirus E strain HAdVE/Japan/J1007/1981/P4H4F4, complete genome	130308	E	004	004	004	004	1981-01-01	JP	?	?	?	?	1981	Japan
KY996453.1	Human mastadenovirus E strain HAdVE/USA_Connecticut/TB071911/2011/P4H4F4, complete genome	130308	E	004	004	004	004	2011-01-01	US	?	?	?	?	2011	USA
KY996444.1	Human mastadenovirus E strain HAdVE/USA_New York/38813/2014/P4H4F4, complete genome	130308	E	004	004	004	004	2014-12-11	US	?	?	?	?	11-Dec-2014	USA
KX868466.2	Human adenovirus 5 isolate GyK193, complete genome	28285	C	005	005	005	005	2000-01-01	SE	?	?	?	?	2000	Sweden
AC_000008.1	Human adenovirus 5, complete genome	28285	C	005	005	005	005	?	?	?	?	?	?	NA	NA
AY339865.1	Human adenovirus C serotype 5, complete genome	129951	C	005	005	005	005	?	?	?	?	?	?	NA	NA
KF268127.1	Human adenovirus C strain human/USA/CL_42/1988/5[P5H5F5], complete genome	129951	C	005	005	005	005	1988-01-01	US	PA	003	?	?	1988	USA: Pittsburgh, Pennsylvania
KF429754.1	Human adenovirus C strain human/USA/Pitts_00149/1990/5[P5H5F5]F268310, complete genome	129951	C	005	005	005	005	1990-01-01	US	PA	003	?	?	1990	USA: Pittsburgh, Pennsylvania
AY601635.1	Human adenovirus type 5 strain NHRC Ad5FS 7151, complete genome	28285	C	005	005	005	005	?	?	?	?	?	?	NA	NA
MH121094.1	Human mastadenovirus C strain 25C5, partial genome	129951	C	005	005	005	005	?	DE	?	?	?	?	NA	Germany
M73260.1	Mastadenovirus h5 gene, complete genome	28285	C	005	005	005	005	?	?	?	?	?	?	NA	NA
LC068716.1	Human adenovirus 6 DNA, nearly complete genome, strain: 1030787	10534	C	006	006	006	006	2003-12-03	JP	?	?	?	?	2003-12-03	Japan
LC068717.1	Human adenovirus 6 DNA, nearly complete genome, strain: 1040264	10534	C	006	006	006	006	2004-04-12	JP	?	?	?	?	2004-04-12	Japan
LC068718.1	Human adenovirus 6 DNA, nearly complete genome, strain: 1040502	10534	C	006	006	006	006	2004-08-19	JP	?	?	?	?	2004-08-19	Japan
LC068719.1	Human adenovirus 6 DNA, nearly complete genome, strain: 1050156	10534	C	006	006	006	006	2005-04-01	JP	?	?	?	?	2005-04-01	Japan
LC068720.1	Human adenovirus 6 DNA, nearly complete genome, strain: 1050158	10534	C	006	006	006	006	2005-04-08	JP	?	?	?	?	2005-04-08	Japan
LC068713.1	Human adenovirus 6 DNA, nearly complete genome, strain: 870550	10534	C	006	006	006	006	1987-12-26	JP	?	?	?	?	1987-12-26	Japan
LC068712.1	Human adenovirus 6 DNA, nearly complete genome, strain: 870550	10534	C	006	006	006	006	1987-12-26	JP	?	?	?	?	1987-12-26	Japan
LC068714.1	Human adenovirus 6 DNA, nearly complete genome, strain: 930113	10534	C	006	006	006	006	1993-03-05	JP	?	?	?	?	1993-03-05	Japan
LC068715.1	Human adenovirus 6 DNA, nearly complete genome, strain: 940162	10534	C	006	006	006	006	1994-05-21	JP	?	?	?	?	1994-05-21	Japan
HQ413315.1	Human adenovirus 6 isolate Tonsil 99, complete genome	10534	C	006	006	006	006	1953-01-01	US	DC	001	?	?	1953	USA: Washington, DC
FJ349096.1	Human adenovirus 6 strain Tonsil 99 prototype, complete genome	10534	C	006	006	006	006	1953-01-01	US	?	?	?	?	1953	USA
JX423389.1	Human adenovirus C strain human/USA/ak31_AdV6/2007/6[P6H6F6], complete genome	129951	C	006	006	006	006	2007-08-01	US	?	099	?	?	01-Aug-2007	USA: Philadelphia
KF268129.1	Human adenovirus C strain human/USA/UFL_Adv6/2005/6[P6H6F6], complete genome	129951	C	006	006	006	006	2005-02-01	US	CO	?	?	?	Feb-2005	USA: Colorado
MH121112.1	Human mastadenovirus C strain 45C6, partial genome	129951	C	006	006	006	006	?	DE	?	?	?	?	NA	Germany
MH121113.1	Human mastadenovirus C strain 46C6, partial genome	129951	C	006	006	006	006	?	DE	?	?	?	?	NA	Germany
LC530212.1	Human adenovirus 7 293 DNA, complete genome	10519	B	007	007	007	007	2018-01-01	JP	24	?	?	?	2018	Japan:Sendai
MN164629.1	Human adenovirus 7 isolate A549, complete genome	10519	B	007	007	007	007	2018-01-01	CN	?	?	?	?	2018	China
JX625134.1	Human adenovirus 7 isolate CQ1198, complete genome	10519	B	007	007	007	007	2010-11-01	CN	?	?	?	?	Nov-2010	China
MG696128.1	Human adenovirus 7 isolate X01, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696129.1	Human adenovirus 7 isolate X02, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696130.1	Human adenovirus 7 isolate X03, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696131.1	Human adenovirus 7 isolate X04, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696132.1	Human adenovirus 7 isolate X05, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696133.1	Human adenovirus 7 isolate X06, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696134.1	Human adenovirus 7 isolate X07, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG736303.1	Human adenovirus 7 isolate X07s, complete genome	10519	B	007	007	007	007	2017-04-28	CN	?	?	?	?	28-Apr-2017	China
MG696135.1	Human adenovirus 7 isolate X09, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696136.1	Human adenovirus 7 isolate X10, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG736304.1	Human adenovirus 7 isolate X10s, complete genome	10519	B	007	007	007	007	2017-04-30	CN	?	?	?	?	30-Apr-2017	China
MG696137.1	Human adenovirus 7 isolate X12, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696138.1	Human adenovirus 7 isolate X13, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696139.1	Human adenovirus 7 isolate X16, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696140.1	Human adenovirus 7 isolate X17, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696141.1	Human adenovirus 7 isolate X19, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696142.1	Human adenovirus 7 isolate X20, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
MG696143.1	Human adenovirus 7 isolate X21, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	NA	China
